id,name,news
1,Jötunn,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista hoje para conquistar a tranquilidade financeira de amanhã.'}]"
2,Juiz Dredd,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'A disciplina financeira começa com investimentos inteligentes.'}]"
3,Yogg'Saron,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Diversifique seus investimentos e fortaleça seu futuro.'}]"
4,Seto kaiba,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Kaiba, faça seu patrimônio crescer com estratégia.'}]"
5,Geralt,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Geralt, deixe suas moedas trabalharem por você.'}]"
6,Leonardo DiCaprio,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Leonardo, investimentos constroem liberdade financeira.'}]"
7,Paathurnax,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Paathurnax, sabedoria também é investir no amanhã.'}]"
8,Odahviing,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Odahviing, faça seu dinheiro alcançar novos horizontes.'}]"
9,Miraak,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Miraak, domine seu futuro através dos investimentos.'}]"
10,Pedro,"[{'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pedro, investir hoje é garantir oportunidades amanhã.'}]"
